source,target,role
"500","954","Ethan Hunt"
"500","955","Ethan Hunt"
"50095","6466","Will Rollins"
"500","956","Ethan Hunt"
"50095","87499","Tim"
"50095","9708","Bar Guy #2"
"50096","6499","Adam Park"
"50096","6499","Green Ranger"
"50096","9070","Adam Park"
"50096","9070","Black Ranger"
"50097","6499","Tanya Sloan"
"50097","6499","Yellow Ranger"
"50098","6499","Tommy Oliver"
"50098","6499","Red Ranger"
"50098","9070","Tommy Oliver"
"50098","9070","White Ranger"
"5010","11618","Todd Hackett"
"5010","345","Nick Nightingale"
"5010","664","Tim 'Beltzer' Lewis"
"501","10588","Sally"
"501","10950","Lucy Diamond Dawson"
"501","11096","Emily Callaway"
"501","12837","Lily Owens"
"501","13455","Cassie Holmes"
"50","11481","Carole Ledoux"
"501","14836","Coraline Jones (voice)"
"501","14926","Lorraine Ray Schleine"
"501","157823","Dena Brauer"
"50","11654","Miriam Blaylock"
"50117","12201","Sanderman"
"50117","205220","Pete Olsson"
"50117","206408","John"
"50117","87825","Greg"
"50117","9829","Jeremy Glick"
"501","18239","Jane"
"501","20760","Lilo (voice)"
"5012","345","Sandor Szavost"
"5012","387","Leutnant Müller"
"501","24021","Jane"
"501","27586","Cherie Currie"
"5012","8366","Santa Maria"
"5012","9805","William der Letzte"
"5012","9805","Santa Maria"
"501","50619","Jane"
"501","50620","Jane"
"501","51786","Preschool Kim (voice)"
"50","16","Kathy"
"501","70706","Lilly Berger"
"50","1716","Marion Steiner"
"501","74","Rachel Ferrier"
"501","90369","Tessa Scott"
"501","9039","Abigal Abby Jennings"
"501","9509","Pita"
"50","1958","Gaby"
"501","9986","Fern"
"50","2011","Mère de Marjane (voix)"
"502","100241","Leonore"
"502","11866","Kelly"
"502","121","Éowyn"
"502","122","Éowyn"
"50217","22803","Bray"
"50217","24438","Vincent"
"50217","34769","Paul Carter"
"50217","3580","Detective Lester Ybarra"
"50217","38050","Charlie Traynor"
"50217","38363","Jack"
"50217","49521","Steve Lombard"
"50217","75656","Agent Fuller"
"50217","76726","Richard Detmer"
"50217","924","C.J."
"502","264656","Theoline Belknapp"
"502","2655","Mary Feur"
"5023","345","Amanda 'Mandy' Curran"
"50235","15785","Slim"
"5024","11197","Fru Ponti, Eriks mor"
"5024","345","Marion Nathanson"
"5025","10362","Sandra"
"5025","10439","Allison"
"5025","109421","Dierdre Banks"
"5025","127884","Beth"
"5025","244509","Ann Dane"
"5025","345","Domino"
"5025","5176","Emmy Nelson"
"5025","72432","Nurse Vicky Rogers"
"5025","78698","Kelly Meyers"
"5025","9792","Lynn Carter"
"50266","16186","Orlando"
"50266","217993","Victor Stone"
"50266","217993","Cyborg (voice)"
"502","74","Mary-Ann"
"502","8741","Marty Bell"
"50304","10785","'The Thing'"
"50304","11071","FBI Agent Robert Graham"
"503","14164","Goku"
"50314","9803","Cloudy"
"50346","14695","Amanda"
"50346","6538","Charlies Engel"
"50347","10065","Lisa"
"50347","10152","Jessica"
"50347","10188","Julia"
"50347","13474","Angela Bridges"
"50347","13475","Galia"
"50347","14869","Scarlet"
"50347","174682","Jamie"
"50347","242310","Vanessa"
"50347","37430","Tamara"
"50347","6538","Charlies Engel"
"50347","94348","Monica Ashe"
"50362","145197","Thief"
"503","74","Robbie Ferrier"
"503","9785","Nick Powell"
"50398","20726","Junior Floyd"
"50398","6396","Sean"
"50398","6552","Anton"
"50398","8839","Casper on Screen"
"50398","9263","Scott Wormer"
"50398","9532","Alex Chance Browning"
"50401","6552","Tanya"
"504","10403","Griffin Mill"
"504","10658","Phil Blumburtt"
"504","1073","Oliver Lang"
"504","112200","Mike"
"504","11676","Nick Beam"
"504","11777","Ed Walters"
"504","11828","Erik"
"504","11934","Norville Barnes"
"5041","303","Eric Mathis"
"504","13600","Loris Harrow"
"504","2067","Woodrow 'Woody' Blake"
"504217","69798","Carli D'Amato"
"504","2179","The Stranger"
"504","2291","Jacob Singer"
"5042","303","Joseph, Sebastian's Butler"
"504","243","Ian 'Ray' Raymond"
"504","2577","William Geld"
"504","278","Andy Dufresne"
"504","287","Ebby Calvin 'Nuke' LaLoosh"
"504","322","Dave Boyle"
"504","44912","Senator Hammond"
"50446","9805","Königin Metapha"
"5045","1410","Sgt. Pinback alias Bill Fruge"
"50463","100046","Jill"
"50463","11282","Liane"
"50463","127493","Riley Simms"
"50463","13183","Laurie Juspeczyk"
"50463","13183","Silk Spectre"
"50463","18240","Gertrude"
"50463","19899","Ronnie"
"50463","41556","Tripler"
"50463","47218","Annie"
"50463","50647","Eva"
"50463","60011","Robin Comley"
"50463","6557","Tess"
"50463","75736","Tes"
"50463","77234","Katherine"
"50463","80585","Constance Sack"
"50463","9038","Lila"
"50464","6557","Hal"
"50464","7095","Brian Powell"
"50466","6557","Pedro"
"504","6795","Dad"
"5047","10122","Helen Freeman"
"5047","11850","Nancy Bellicec"
"5047","20139","Rosalie Wells"
"5047","348","Lambert"
"504","744","Merlin"
"5047","4858","Wendy Lenk"
"504","74","Harlan Ogilvy"
"5047","571","Cathy Brenner"
"5047","6069","Felicia Alden"
"504787","121986","Rachel"
"504787","2259","Clara del Valle Trueba - as a Child"
"504787","264656","Arabella Sours"
"5047","9549","Betty Grissom"
"5048","10765","1st Sgt. Jim Ballard"
"5048","1103","Harold 'Brain' Helman"
"5048","11051","Paulus"
"5048","11522","Jack Walsh"
"5048","11589","Pvt. Willard (as Dean Stanton)"
"5048","13820","Bud"
"5048","1730","Freddie Howard"
"5048","1878","Judge"
"5048","1880","Mr. Eckert"
"5048","240","F.B.I. Man #1"
"5048","24428","Security Guard"
"5048","27236","Oklahoma Hitchhiker"
"5048","348","Brett"
"5048","404","Lyle Straight, Alvin's Brother"
"5048","44896","Balthazar (voice)"
"5048","483","Johnnie Farragut"
"5048","497","Toot-Toot"
"5048","53487","Robert Plath"
"5048","5955","Floyd Cage"
"5048","655","Travis"
"504","8699","Public TV News Anchor (uncredited)"
"5048","7457","Cosmo Gadabeeti"
"5048","76640","Mr. Parson"
"5048","86838","Man in Hat"
"5048","8769","Rudolph Junkins"
"5048","903","Tramp"
"5048","9101","Lt. Howard"
"5049","10156","Jesus - The Roman Empire"
"5049","10529","Rothgar"
"5049","10804","Lord Percival Graves"
"5049","110415","Gilliam"
"5049","11253","Trevor Bruttenholm"
"5049","11327","Max"
"5049","11780","John Graham (Marquis of Montrose)"
"5049","11837","Hazel (voice)"
"5049","12245","Arthur Seldom"
"5049","123","Aragorn"
"5049","12444","Mr. Ollivander"
"5049","12445","Mr. Ollivander"
"5049","14175","Felix (voice)"
"5049","1427","Narrator (voice)"
"5049","1487","Prof. Bruttenholm"
"5049","152603","Marlowe"
"5049","16608","Jellon Lamb"
"5049","1722","Dr. Iannis"
"5049","184315","Cotys"
"5049","1955","John Merrick"
"5049","217","Ox"
"5049","348","Kane"
"5049","37958","Old Zeus"
"5049","41602","Narrator"
"5049","49517","Control"
"5049","62215","Dexter"
"5049","671","Mr. Ollivander"
"5049","686","S. R. Hadden"
"5049","752","Chancellor Adam Sutler"
"5049","8284","Guitar"
"5049","922","John Scholfield"
"5049","9314","Winston Smith"
"5049","957","Kane"
"504","9989","Gary Winston"
"5049","9913","Ben Devereaux"
"5050","11284","Doc"
"5050","1623","Richard 'Dickie' Coombes"
"5050","253","Kananga"
"5050","253","Mr. Big"
"5050","348","Parker"
"5050","865","William Laughlin"
"5050","9013","FBI Agent Alonzo Mosely"
"5050","912","Carl"
"50","51447","Suzanne Pujol"
"50571","11071","Alan Crotty"
"50586","6589","Jack Unger"
"50586","7304","Nicky Gazelle"
"506085","127493","Alison"
"506085","152795","Sarah"
"506085","203739","Mia Rinalidi"
"506085","74308","Erica"
"506085","86834","Sami"
"5064","10315","Mrs. Fox (voice)"
"5064","11631","Donna"
"5064","11774","Aunt Josephine"
"5064","11778","Linda"
"5064","12102","Joanna Kramer"
"5064","14359","Sister Aloysius Beauvier"
"5064","14462","Senator Eleanor Prentiss Shaw (D-VA)"
"5064","152737","Violet Weston"
"5064","15764","Sophie Zawistowski"
"5064","2259","Clara del Valle Trueba"
"5064","227156","Chief Elder"
"5064","22897","Jane Adler"
"5064","2313","Lisa Metzger"
"5064","24803","Julia Child"
"5064","264656","Altha Carter"
"5064","2757","Susan Orlean"
"5064","350","Miranda Priestly"
"5064","4515","Janine Roth"
"5064","5125","Corrine Whitman"
"5064","590","Clarissa Vaughan"
"5064","606","Karen Christence Dinesen Blixen"
"5064","644","Blue Mecha (voice)"
"5064","688","Francesca Johnson"
"5064","696","Jill"
"5064","71688","Margaret Thatcher"
"5064","82696","Kay"
"5064","8987","Gail Hartman"
"5064","9374","Madeline Ashton"
"5064","9526","Yolanda Johnson"
"5064","9906","Queen"
"50","649","Séverine Serizy"
"50667","16436","Elisabeth Landauer"
"50668","69315","Cpt. Lee 'Apollo' Adama"
"50744","7219","Paola Menard"
"50745","11367","Gangster at Car Race"
"50762","11327","Mr. Hayes"
"50762","13567","Mel"
"5077","612","Sylvie"
"5077","9726","Nathalie Auzet"
"5079","11227","Franck"
"5079","14400","Freddy"
"5079","35025","Tiago Mendès"
"5079","39385","Patrick Abitbol"
"5079","86868","Patrick"
"50807","10442","Newspaper reporter"
"50807","11077","Martin Beck"
"50807","11959","Stanley Spadowski"
"50807","13595","Doug Beech"
"50807","9612","Motel Clerk"
"5081","13090","Norah Lorkowski"
"5081","137113","Sgt. Rita Vrataski"
"5081","14223","Girl"
"5081","149870","Nahoko Satomi (voice)"
"5081","16279","Valerie Brennan"
"5081","18320","Queen Victoria"
"5081","350","Emily"
"5081","38050","Elise Sellas"
"5081","38745","Princess Mary"
"5081","44147","Rose"
"5081","45772","Juliet (voice)"
"5081","5951","Prudie"
"5081","59967","Sara"
"5081","64328","Miss Piggy's Receptionist"
"5081","6538","Jane Liddle"
"5081","7211","Ruthie Draper"
"5081","72207","Violet Barnes"
"5081","7978","Gwen Conliffe"
"5081","81025","Harriet Chetwode-Talbot"
"5081","84355","Iris"
"5081","9709","Tamsin"
"50833","6620","Oliver Larrabee"
"50833","705","Aged Actor"
"50834","6620","Gretchen Van Horn"
"50835","11485","Fritz"
"50835","6620","Professor"
"50836","6620","Maude Larrabee"
"50837","6620","Mr. Tyson"
"50877","10641","Lynn"
"50877","11199","Kelly Madsen"
"50877","5550","Dr. Marie Lazarus"
"50880","175574","Chief Massasoit (voice)"
"50880","18462","Hector"
"5090","10592","Pvt. Daniel E. Abrams"
"5090","350","Nate Cooper"
"5090","9466","Darrow Entourage"
"50948","6641","Felicity Wentworth"
"50967","11950","The Slapper"
"50967","9359","Riverboat Poker Player"
"50968","16520","Lun Tha"
"50970","6644","Maudie"
"50971","6644","Bull Harris"
"50972","6644","Josephine MacDonald"
"50974","6644","Pedro"
"50975","6644","Luke MacDonald"
"50994","6639","junger Florentino"
"50994","8881","Vaquerito"
"50997","10693","Peter Pan"
"50997","13850","Johnny"
"50","99770","Cordelia la reine d'Angleterre"
"51036","14305","Colonel Ferrus"
"51036","663","Art"
"51036","7485","Howard Purnell"
"51036","924","Luis"
"51038","133369","Drunk Man"
"51038","13474","Bob Harper"
"51038","663","Lamanna"
"51042","157841","Gracie"
"51042","157851","Sam"
"51042","663","Corbett"
"510488","12201","State Trooper #2"
"51072","10138","U.S. Marshal"
"51072","11170","Annie Cantrell"
"51072","14113","Summer Jones"
"51072","14113","Wonder"
"51072","142","Alma Jr. (Age 19)"
"51072","157353","Bree"
"51072","166424","Sue Storm"
"51072","166424","The Invisible Woman"
"51072","38543","Lady Isabel"
"51072","44115","Christie"
"51072","47218","Mississippi"
"51072","58547","Jill Montez"
"51072","6687","Abby"
"51072","7485","Sarah Fenn"
"51072","97614","Hanna"
"51100","121793","Marc Tourneuil"
"51100","121936","Sacha Keller"
"51100","133469","Rayane Ziani"
"51100","157820","Chick"
"51100","17578","Ben Salaad (voice)"
"51100","18955","Coco"
"51100","21427","François Pignon"
"51100","41411","Schmuel Weismann"
"51100","59436","Detective Tisserant"
"51100","6691","Jean"
"51100","77459","Raoul"
"51101","6691","Madeleine"
"51120","192538","Hakan"
"51120","6641","James Wildstone"
"5117","31175","Shayn Weiss"
"5117","363","Cahit Tomruk"
"5118","363","Sibel Güner"
"5","11868","Doctor Van Helsing"
"5118","73770","Nele"
"5119","31175","Frau Schuster vom Finanzamt"
"5119","363","Maren"
"5","11","Grand Moff Tarkin"
"5120","363","Seref"
"5121","363","Selma"
"51214","10731","Mark Sway"
"51214","1548","Josh"
"51214","17436","Jack"
"51214","6715","Erik"
"51214","819","Young Michael Sullivan"
"51214","9445","Todd Bowden"
"51214","9517","Marty Puccio"
"51214","9667","The Stranger"
"5125","575","Taxifahrer"
"51265","7281","Miss Pennymarket"
"5129","10122","Max (voice) (as Paul Mall)"
"5129","10206","Amilyn"
"5129","10830","FBI Agent Bob"
"5129","13313","Fife"
"5129","13612","Pee-wee Herman"
"5129","364","Mr. Cobblepot"
"5129","364","Penguin's Father"
"5129","4133","Derek Foreal"
"5129","41513","Jokey Smurf"
"5129","525","Waiter"
"5129","5683","Pee-wee Herman"
"51297","127517","Ben Boyd"
"51297","50646","Robbie Weaver"
"51297","6795","Danny"
"51297","9948","Tod"
"51298","10759","Sheriff"
"51298","10762","Tom Marshall"
"51298","109513","Charles Bronson"
"51298","109513","Yul Perrkins"
"51298","13477","Gale"
"51298","177494","Overconfident Club Boy"
"51298","22949","Trent Rice"
"51298","239678","Wade Boulanger"
"51298","4964","Himself (uncredited)"
"51298","6795","Astronaut"
"51298","7512","Frito"
"51298","8780","Carl"
"51298","9794","Vince"
"51298","9809","John Lyshitski"
"5129","9479","Lock (voice)"
"5129","9824","Spleen"
"51300","10012","Werewolf"
"51300","13207","Jason Vorhees"
"51300","167575","Hawes"
"51300","1865","Master-at-Arms"
"51300","241842","Stavarin"
"51300","34851","Classic Predator"
"51300","60304","Edward"
"51300","608","Mosh Tendrils"
"51300","6795","Lead Zorgon"
"51300","76285","Cyclops"
"51300","82682","Bridge Goon"
"51300","98566","Dojo Ninja"
"5130","364","Ice Princess"
"51310","6844","Pentaur"
"5131","364","Mrs. Cobblepot"
"5131","364","Penguin's Mother"
"51315","12208","Mata Bond"
"5131","5683","Simone"
"51325","4347","Luc Cornet"
"51325","51447","Laurent Pujol"
"51325","6312","Thomas d'Apcher"
"51325","63831","Guy"
"51325","8321","Eirik"
"51325","85870","Claude François"
"51325","8736","Greg"
"51329","10184","Ben"
"51329","10185","Leon Kaufman"
"51329","10186","Trash"
"51329","10201","Peter"
"51329","10759","Cowboy"
"51329","109439","Phil"
"51329","109513","Alex Dmitri"
"51329","118340","Rocket"
"51329","168672","Richie DiMaso"
"51329","18785","Phil Wenneck"
"51329","2171","Ben"
"51329","23706","Steve"
"51329","28355","Douglas J. Ames"
"51329","32856","Holden"
"51329","45243","Phil Wenneck"
"51329","51876","Eddie Morra"
"51329","6877","Demo"
"51329","82693","Pat"
"51329","83686","Rory Jansen"
"51329","9522","Zachary 'Sack' Lodge"
"51329","97367","Avery Cross"
"51330","11286","Terry"
"51330","6877","Al"
"51330","9928","Broken Arm Bot (voice)"
"513378","10707","Graduate Student"
"51359","11066","Christie"
"51359","13969","Liz Pappas"
"51359","9085","Sunshine"
"51359","9563","Vanessa Struthers"
"513677","674","Roger Davies"
"513677","69798","Mark Donovan"
"51381","10592","Pfc. W. Roy Potts"
"51381","10783","Larry"
"51381","12192","Jake Gallo"
"51381","16995","Hank"
"51381","401","Kenny"
"51381","59296","Gerber"
"51381","6519","Deputy Enos Strate"
"51381","7511","Izzy"
"51381","7839","Ted"
"51382","10074","Barry Pasternack"
"51382","10720","TV Emcee"
"51382","39414","Peter"
"51382","6575","Theo"
"51382","68179","Hammer (voice)"
"51382","8699","Garth Holladay"
"51382","9965","Garth Holliday"
"51383","138222","Lumpy"
"51383","174188","Shorter Wraith"
"51383","249923","Barry"
"51383","46838","Dale"
"51383","61791","Robert Franklin"
"51383","62211","Brock Pearson (voice)"
"51383","69778","Mike McCrudden"
"51383","9664","Briggs Lowry"
"51383","9989","Redmond Schmeichel"
"51389","44040","Dwight"
"51389","45612","Lab Technician"
"51389","8338","Police man"
"5139","10014","Freddy Krueger"
"5139","10072","Freddy Krueger"
"5139","10131","Freddy Krueger"
"5139","10160","Freddy Krueger"
"5139","10351","Raymond Beaumont"
"5139","10961","Doc Halloran"
"51391","10069","Swink"
"51391","10923","Cody Banks"
"51391","11870","Jason Shepherd"
"5139","11284","Freddy Krueger"
"5139","11596","Freddy Krueger"
"5139","11596","Himself"
"51391","17047","Cody Banks"
"51391","17908","Willie Morris"
"51391","1792","Himself"
"5139","11908","Sampson"
"5139","13009","Ian"
"51391","6439","Stripes"
"51391","6575","Buddy Holly"
"5139","377","Freddy Krueger"
"5139","6466","Freddy Krueger"
"5139","9548","Smiley"
"5139","9877","Professor William Wexler"
"5140","11596","Himself"
"5140","2294","Himself"
"5140","4232","Fred the Janitor"
"514","10395","Will Randall"
"5141","10072","Nancy Thompson"
"514","11050","Garrett Breedlove"
"5141","11596","Herself"
"5141","11596","Nancy Thompson"
"5141","377","Nancy Thompson"
"514","1422","Costello"
"5141","54138","Moto"
"514","2075","Charley Partanna"
"514","24452","Wilbur Force"
"51425","6917","Terrence Terry Chandler"
"514","26617","Robert Eroica Dupea"
"514","268","Joker"
"514","2755","Warren R. Schmidt"
"51427","6916","Jeremias"
"514","2898","Melvin Udall"
"51429","6916","-"
"514","42888","Charles"
"514","510","Randle Patrick McMurphy"
"51455","14024","Engelbert  Kiwi Wilson"
"51455","27586","Scottie"
"51455","6933","Brian Sousa"
"51455","74505","Tim"
"514","5955","Jerry Black"
"514","6069","Daryl Van Horne"
"514","624","George Hanson"
"5146","380","Vern"
"514","694","Jack Torrance"
"514","6964","Harry Sanborn"
"514","7350","Edward Cole"
"514","75","President James Dale"
"514","75","Art Land"
"5148","10280","Heidi Halleck"
"5148","12159","Mrs. Jacobs"
"514","829","Jake Gittes"
"5148","380","Iris"
"514","881","Col. Nathan R. Jessep"
"5149","10193","Purple-haired doll (voice)"
"5149","10438","Alice Newton"
"5149","11007","Kate Baker"
"5149","11566","White House Tour Guide"
"5149","11806","Alice Newton"
"5149","13934","Sally Carrera"
"5149","2621","Megan Dayton"
"5149","380","Sally Dibbs"
"5149","49013","Sally Carrera (voice)"
"5149","497","Jan Edgecomb"
"514","9506","Dr. Buddy Rydell"
"5149","585","Flint"
"5149","62211","Karen Graves (voice)"
"5149","77887","Dolly (voice)"
"5149","8844","Sarah Whittle"
"5149","920","Sally Carrera (voice)"
"5149","9263","Mrs. DeWitt, Chrissy's Mom"
"5149","9390","Laurel Boyd"
"5149","9487","Rosie (voice)"
"5149","9641","Kate Baker"
"51508","133469","Shaheef Berda"
"51508","37645","Pistachio"
"51508","71157","Fred"
"51508","85735","Jean-Georges"
"515","10264","Gertrude"
"515","10481","Cruella de Vil"
"515","10982","Granny (voice)"
"515","10998","Alex Forrest"
"5151","11186","Miss Kettlewell"
"5151","12271","Julia Warhol"
"5151","12508","Mrs Cole"
"5151","12569","Mary"
"5151","13107","Josie"
"515","11393","Iris Gaines"
"5151","141","Kitty Farmer"
"5151","14635","Olline"
"5151","1637","Helen"
"5151","1645","Cora Mae Cobb"
"515","11674","Cruella De Vil"
"515","118340","Nova Prime"
"5151","209403","Irene"
"5151","23706","Mrs. Horowitz"
"515","12560","Sarah Cooper"
"5151","3683","Mother Gagnon"
"5151","380","Mother at Farm House"
"5151","41135","Susan"
"5151","4723","Dr. Inga Von Westphalen"
"515","15657","Kala"
"5151","6977","Carla Jeans Mother"
"51517","11590","Dave 'Killer' Carlson"
"5151","7270","Laundry Lady"
"5151","74643","Peppy's Maid"
"515","2259","Ferula Trueba"
"51533","22970","Marty Mikalski"
"51533","6947","Christop Crane"
"51533","7270","Slacker Boyfriend"
"51533","91739","Claudio"
"51536","10075","Vivian"
"51536","111440","Nicole"
"51536","11892","Lisa Mills"
"51536","13689","Susye"
"51536","15641","Jessica"
"51536","2176","Zoe"
"515","37135","Kala"
"51544","11557","Wendy Beamish"
"51544","12160","Mattie Blaylock"
"51544","205220","Mary"
"51544","62764","Baker Margaret"
"51544","6951","Emily Carson"
"51544","7445","Elsie Cahill"
"51546","11509","Ezra"
"51546","9599","Dr. Meddows"
"51547","10808","Eldon"
"51547","13704","Les' DMV examiner"
"51547","14024","Mr. Gantry"
"51547","231576","Audition Actor #2"
"51547","9837","Additional Voices"
"51549","620","Dean Yager"
"515","62320","Herself (narrator)"
"515","73873","Albert Nobbs"
"515","75","First Lady Marsha Dale"
"51576","12715","Max Donigan"
"51576","13333","Colt"
"51576","15379","Col. James Braddock"
"51576","16113","Major Scott McCoy"
"51576","27352","Col. James Braddock"
"51576","76163","Booker"
"51576","9462","Colt"
"51579","10285","Creighton Duke"
"51579","158011","Terrance"
"51579","525","Trooper Mount"
"51580","9350","Jessie Deighan"
"51582","1669","Seaman Beaumont"
"51583","13156","Boy"
"51583","18126","Oliver Oken"
"51583","71689","Jeremy Johnson"
"51583","9297","Douglas 'DJ' Hartner (voice)"
"515","859","Marquise Isabelle de Merteuil"
"515","879","Gutless"
"515","9772","Vice President Kathryn Bennett"
"515","9890","Claire Wellington"
"51609","6963","Shelly"
"51610","238636","Old Elegant Woman"
"516","103332","Gertrude"
"516","10337","Virginia Hill"
"51610","6963","Lauren"
"516","11364","Sarah Turner"
"516","121872","Bella"
"516","13972","Sylvia Fowler"
"516","14","Carolyn Burnham"
"516","18129","Myra Langtry"
"516","2055","Sue Barlow"
"516","2617","Kate Craig"
"51636","16869","Marcel"
"51636","81796","Hock"
"516","37606","Merteuil"
"516","39781","Nic"
"51651","203833","Officer"
"51651","6968","Günther Scheicher"
"51662","11587","Dr. Freedman"
"51662","15255","Phil"
"51663","118340","Kraglin"
"51663","118340","On Set Rocket"
"51663","45132","Toby"
"51670","13812","George Fletcher"
"51670","152259","Pavlov"
"51670","188207","Tarak"
"51670","22907","Scott"
"51670","50601","Capt. Rezo Avaliani"
"51670","82657","Captain Haining"
"51670","8617","Richard Fenton"
"51670","9591","Jimmy Mattingly"
"516","72890","Zelda"
"516","75","Barbara Land"
"5168","10307","Father Andrew Kiernan"
"5168","10498","Bob"
"5168","11527","Uther Pendragon"
"5168","121793","Dittmar Rigule"
"5168","14239","Jack Deebs"
"5168","14576","Charlie Miller"
"5168","18937","Lionel (voice)"
"5168","203739","Victor Dashkov"
"5168","379","Tom Reagan"
"51684","38093","Angelo Bembre"
"51684","6973","Specialist Ennis Long"
"51684","9918","Harry Flournoy"
"5168","629","Dean Keaton"
"5168","8978","Captain Marcus Duvall"
"5168","922","Charlie Dickinson"
"5168","9313","D'Artagnan"
"5168","9587","Friedrich Bhaer"
"5168","9613","Bill Cleg"
"5168","9645","Captain Sean Murphy"
"5168","9798","Brill"
"5168","9946","Satan"
"516","9087","Sydney Ellen Wade"
"5169","10891","Old Fred"
"5169","1710","Lt. Quinn"
"5169","379","Eddie Dane"
"5169","483","Marcelles Santos"
"5169","8078","Dr. Mason Wren"
"516","9882","Elise Kraft"
"516","9882","Sharon Bridger"
"5169","9869","Marty Cantor"
"5170","24804","Rafelli"
"5170","2616","Pooter-the-Clown"
"5170","27004","Melvin Goldberg"
"5170","379","Frankie"
"5170","51209","Leo Lips Moceri"
"5170","522","Georgie Weiss"
"5170","619","Tony Scipelli"
"5170","769","Frenchy"
"5170","8467","Joe Mentaliano"
"5170","8688","Walt McGahn"
"5170","9005","Roy Gelles"
"5170","9541","Block"
"5170","9676","Det. Russ Millard"
"517","10163","Dr. Lawrence Angelo"
"517","10589","Max Burdett"
"517","107985","Guy Shepherd"
"517","11141","Daniel Rafferty"
"517","11439","Adam Lang"
"517","11631","Sam Carmichael"
"517","126250","Philip"
"517","13249","Gideon"
"517","13250","Tom Ryan"
"5171","379","Tic-Tac"
"517","141043","Martin Sharp"
"51717","16085","Branca"
"517","18937","King Arthur (voice)"
"517","209249","Richard"
"517","23169","Charles"
"517","254904","Devereaux"
"517","2575","Andrew  Andy  Osnard"
"517","32657","Mr. Brunner"
"517","32657","Chiron"
"517","36643","James Bond"
"517","36669","James Bond"
"517","36970","Narrator (voice"
"517","36970","English version)"
"51741","11829","Maitre D'"
"5174","2758","Mr. Glicker"
"51750","12233","Oliver (voice)"
"51750","37269","Vince"
"51755","23049","Mr. Tullen"
"51755","9374","Chagall"
"5176","10783","Chief Troutman"
"5176","123025","Anchor Ted (voice)"
"5176","183","Bateman"
"5176","378","Glen"
"5176","5825","Bill"
"517","70868","Jack Abelhammer"
"517","710","James Bond"
"517","714","James Bond"
"517","75","Professor Donald Kessler"
"517","788","Stuart Dunmeyer"
"517","913","Thomas Crown"
"51792","10592","Sgt. Carl S. Webb"
"51792","13531","Lucas"
"51792","157547","Alan Russell"
"51792","3509","Charles Freck"
"51792","68734","Lee Schatz"
"51792","9571","Ron Slater"
"517","9515","Julian Noble"
"517","9619","Harry Dalton"
"51797","10577","Father David"
"51797","10758","Dr. Pomatter"
"51797","11622","Cliff"
"51797","118340","Monstrous Inmate"
"51797","14301","Captain Hammer (3 episodes, 2008)"
"51797","15359","Col. Steve Trevor"
"51797","16320","Mal"
"51797","183011","Hal Jordan"
"51797","183011","Green Lantern (voice)"
"51797","45132","The Holy Avenger"
"51797","62211","Johnny Worthington (voice)"
"51797","65291","Hal Jordan"
"51797","65291","Green Lantern"
"51797","76285","Hermes"
"51797","76589","Hal Jordan"
"51797","76589","Green Lantern"
"51797","857","Minnesota Ryan"
"51797","9035","Bill Pardy"
"51797","91739","Dogberry"
"51798","11442","Jen"
"51798","157547","Marie Russell"
"51798","69315","Captain Kara 'Starbuck' Thrace"
"51798","69735","Detective Sarah Essen"
"51798","87421","Dahl"
"51799","7916","Jason Parker"
"51799","8848","Nick Barton"
"51799","9350","Delmar"
"51800","60307","Mrs. Kohan"
"51805","167032","Judge"
"51805","7007","Bob Richmond"
"51805","7442","Ben Woodward"
"51805","9986","Mr. Arable"
"518","10090","District Attorney"
"518","10303","Ralph"
"518","10739","Harvey Wexler"
"518","10830","Harry Wormwood"
"518","11050","Vernon Dahlart"
"518","11088","Mickey Bergman"
"518","11970","Philoctetes (voice)"
"518","11975","Deck Shifflet"
"518","11982","Rocks (voice)"
"51812","10336","Cogliostro"
"51812","11527","Merlin"
"51812","11587","Father Morning"
"51812","13155","Dr. Worley"
"51812","13155","Nome King"
"518","12151","Sam Stone"
"51813","36670","Patricia"
"518","1443","Dr. Horniker"
"518","1850","George Shapiro"
"518","2118","Sid Hudgens"
"518","2300","Mr. Swackhammer (voice)"
"5182","37257","Brogan-Moore"
"5182","381","H. H. Hughson"
"518","249","Gavin D'Amato"
"5182","521","Chief Insp. Hubbard"
"5182","6620","Thomas Fairchild"
"5183","381","Danielle Foussard"
"518","364","Penguin"
"518","364","Oswald Cobblepot"
"518","36691","Jimmy"
"5183","9313","Queen Mother's Attendant"
"518","4551","Martin Weir"
"518","510","Martini"
"51851","11509","Stable Boy (as Jacob Kasdan)"
"51851","12560","Autograph Seeker"
"5185","381","Foussard"
"51856","100046","Janice"
"51856","209244","Alli"
"51856","36691","Susan"
"51856","48988","Maggie"
"51856","6575","Darlene Madison"
"51856","9955","Katie Van Waldenberg"
"51857","10625","Mr. Duvall"
"51857","109418","Malcom"
"51857","13260","Cornelius"
"51857","20856","Sheriff Doug Armstrong"
"51857","38365","Malcolm"
"51857","51481","Principal Duvall"
"51857","6575","Sam"
"51857","8873","Sammy Davis, Jr."
"51857","9612","Athletic Cone"
"51857","9957","Wayne"
"518","587","Amos Calloway"
"5185","9385","César (voice)"
"51860","6575","herself"
"518627","37686","Joe Lamb"
"518","6280","Dr. Larry Arbogast"
"518628","37686","Charles"
"5186","381","Germaine"
"51864","127517","Roberta Washington"
